Individual	Parent1	Parent2	Pedigree
21030R017	ST1590	ST2250	( 21030R017 ( ST1590 , ST2250 ) )
210342	301	306	( 210342 ( 301 ( Crusher , Legacy ) , 306 ( Crusher , Legacy ) ) )
21052	ST2250	90676A	( 21052 ( ST2250 , 90676A ( ST2250 , G40-3P9392 ) ) )
21063	Asgrow_A3237	90683C	( 21063 ( Asgrow_A3237 , 90683C ( Pioneer_P9362 , G40-3P9392 ) ) )
21066	MO12557	90688A	( 21066 ( MO12557 , 90688A ( Asgrow_A4715 , G40-3P9392 ) ) )
21069	MO92117-18	90682E	( 21069 ( MO92117-18 , 90682E ( Pioneer_P9342 , G40-3P9341 ) ) )
21070	Pioneer_P9412	90688C	( 21070 ( Pioneer_P9412 , 90688C ( Asgrow_A4715 , G40-3P9392 ) ) )
21080	Pioneer_P9362	90682C	( 21080 ( Pioneer_P9362 , 90682C ( Pioneer_P9342 , G40-3P9341 ) ) )
21082	Pioneer_P9381	90685A	( 21082 ( Pioneer_P9381 , 90685A ( Pioneer_P9381 , G40-3P9392 ) ) )
21097	Asgrow_A3237	21063	( 21097 ( Asgrow_A3237 , 21063 ( Asgrow_A3237 , 90683C ( Pioneer_P9362 , G40-3P9392 ) ) ) )
21111	Pioneer_P9362	21080	( 21111 ( Pioneer_P9362 , 21080 ( Pioneer_P9362 , 90682C ( Pioneer_P9342 , G40-3P9341 ) ) ) )
21119	Pioneer_P9304	21070	( 21119 ( Pioneer_P9304 , 21070 ( Pioneer_P9412 , 90688C ( Asgrow_A4715 , G40-3P9392 ) ) ) )
21132	Asgrow_A2396	21082	( 21132 ( Asgrow_A2396 ( CM214 , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) ) , 21082 ( Pioneer_P9381 , 90685A ( Pioneer_P9381 , G40-3P9392 ) ) ) )
211948	Asgrow_A3244	CPG3289C	( 211948 ( Asgrow_A3244 , CPG3289C ) )
21270LBW39	MO01718	Pioneer_P9171	( 21270LBW39 ( MO01718 ( MO50321 ( MO01010 ( Harcor , CM183 ) ( Harcor , CM183 ) , A8 ) , MO50226 ( ST3010 , MO01010 ( Harcor , CM183 ) ) ) , Pioneer_P9171 ( Pioneer_P9271 , Asgrow_A3127 ( Williams , Essex ) ) ) )
212930	602216	APG0972	( 212930 ( 602216 , APG0972 ) )
21710	Asgrow_A3237	21097	( 21710 ( Asgrow_A3237 , 21097 ( Asgrow_A3237 , 21063 ( Asgrow_A3237 , 90683C ( Pioneer_P9362 , G40-3P9392 ) ) ) ) )
21710N120	Asgrow_A3237	21097	( 21710N120 ( Asgrow_A3237 , 21097 ( Asgrow_A3237 , 21063 ( Asgrow_A3237 , 90683C ( Pioneer_P9362 , G40-3P9392 ) ) ) ) )
21720	Pioneer_P9343	21111	( 21720 ( Pioneer_P9343 , 21111 ( Pioneer_P9362 , 21080 ( Pioneer_P9362 , 90682C ( Pioneer_P9342 , G40-3P9341 ) ) ) ) )
21721	Asgrow_A1900	21119	( 21721 ( Asgrow_A1900 , 21119 ( Pioneer_P9304 , 21070 ( Pioneer_P9412 , 90688C ( Asgrow_A4715 , G40-3P9392 ) ) ) ) )
21726	Asgrow_A2396	21132	( 21726 ( Asgrow_A2396 ( CM214 , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) ) ( CM214 , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ) , 21132 ( Asgrow_A2396 ( CM214 , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) ) , 21082 ( Pioneer_P9381 , 90685A ( Pioneer_P9381 , G40-3P9392 ) ) ) ) )
221524	DKB26-52	AG2703	( 221524 ( DKB26-52 , AG2703 ) )
22302S025	ST2660	Syngenta_S30-06	( 22302S025 ( ST2660 , Syngenta_S30-06 ) )
