Individual	Parent1	Parent2	Pedigree
F66-1109	F57-735	D58-3358	( F66-1109 ( F57-735 ( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican ) , D58-3358 ) )
F66-1303	Hardee	D53-1301	( F66-1303 ( Hardee , D53-1301 ( D632-15 ( Dunfield ( PI_36846 , - ) , Haberlandt ( PI_6396 , - ) ) , D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) ) )
F66-1689	Hardee	D58-3358	( F66-1689 ( Hardee , D58-3358 ) )
F66-550	Ogden	D53-1301	( F66-550 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , D53-1301 ( D632-15 ( Dunfield ( PI_36846 , - ) , Haberlandt ( PI_6396 , - ) ) , D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) ) )
F67-1749	F57-1471	F58-3726	( F67-1749 ( F57-1471 ( D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ( Clemson ( PI_71659 , - ) ( PI_71659 , - ) , - ) ) , Majos ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) ) , F58-3726 ( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican ) ) )
F67-1806	F57-1471	F58-3726	( F67-1806 ( F57-1471 ( D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ( Clemson ( PI_71659 , - ) ( PI_71659 , - ) , - ) ) , Majos ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) ) , F58-3726 ( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican ) ) )
F67-3673	Bragg	D60-8107	( F67-3673 ( Bragg , D60-8107 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) )
F70-2060	F62-2953	D62-3286	( F70-2060 ( F62-2953 ( D51-5091 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , N50-2542 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) , D62-3286 ) )
F70-2061	F62-2953	D62-3286	( F70-2061 ( F62-2953 ( D51-5091 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , N50-2542 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) , D62-3286 ) )
F70-2207	D60-9240	Hardee	( F70-2207 ( D60-9240 , Hardee ) )
